address_id,country,region,city,street,building_number,zip,parent_id
71,Ukraine,Lviv region,Stryi,Maksyma Kryvonosa St,0, ,63
72,Ukraine,Lviv region,Stryi,Tarasa Shevchenka Blvd,0, ,63
73,Ukraine,Lviv region,Stryi,Bohdana Khmelnytskoho St,0, ,63
74,Ukraine,Odesa region,,,0, ,1
75,Ukraine,Odesa region,Odesa,,0, ,74
76,Ukraine,Odesa region,Odesa,Deribasivska St,0, ,75
77,Ukraine,Odesa region,Odesa,Primorsky Blvd,0, ,75
78,Ukraine,Odesa region,Odesa,Kanatna St,0, ,75
79,Ukraine,Odesa region,Odesa,Panteleimonivska St,0, ,75
80,Ukraine,Odesa region,Odesa,Uspenska St,0, ,75
81,Ukraine,Odesa region,Odesa,Ryshelievska St,0, ,75
82,Ukraine,Odesa region,Odesa,Prymorska St,0, ,75
83,Ukraine,Odesa region,Odesa,Fontanska Rd,0, ,75
84,Ukraine,Odesa region,Odesa,Pushkinska St,0, ,75
85,Ukraine,Odesa region,Odesa,Leontovycha St,0, ,75
86,Ukraine,Odesa region,Odesa,Italiiska St,0, ,75
87,Ukraine,Odesa region,Odesa,Bunina St,0, ,75
88,Ukraine,Odesa region,Izmail,,0, ,74
89,Ukraine,Odesa region,Izmail,Kotovskoho St,0, ,88
90,Ukraine,Odesa region,Izmail,Suvorova St,0, ,88
91,Ukraine,Odesa region,Izmail,Nezalezhnosti Ave,0, ,88
92,Ukraine,Odesa region,Izmail,Sadova St,0, ,88
93,Ukraine,Odesa region,Izmail,Pushkina St,0, ,88
94,Ukraine,Odesa region,Izmail,Myru St,0, ,88
95,Ukraine,Odesa region,Izmail,Sportyvna St,0, ,88
96,Ukraine,Odesa region,Izmail,Lermontova St,0, ,88
97,Ukraine,Odesa region,Izmail,Horodotska St,0, ,88
98,Ukraine,Odesa region,Izmail,Bohdana Khmelnytskoho St,0, ,88
99,Ukraine,Odesa region,Chornomorsk,,0, ,74
100,Ukraine,Odesa region,Chornomorsk,Parusna St,0, ,99
101,Ukraine,Odesa region,Chornomorsk,Myru Ave,0, ,99
102,Ukraine,Odesa region,Chornomorsk,Heroiv Stalingrada St,0, ,99
103,Ukraine,Odesa region,Chornomorsk,Nezalezhnosti St,0, ,99
104,Ukraine,Odesa region,Chornomorsk,Sadova St,0, ,99
105,Ukraine,Odesa region,Chornomorsk,Stepova St,0, ,99
106,Ukraine,Odesa region,Chornomorsk,Industrialna St,0, ,99
107,Ukraine,Odesa region,Chornomorsk,Odeska St,0, ,99
108,Ukraine,Odesa region,Chornomorsk,Kyivska St,0, ,99
109,Ukraine,Odesa region,Chornomorsk,Sportyvna St,0, ,99
110,Poland,,,,0, ,0
111,Poland,Mazowieckie,,,0, ,110
112,Poland,Mazowieckie,Warsaw,,0, ,111
113,Poland,Mazowieckie,Warsaw,Aleje Jerozolimskie,0, ,112
114,Poland,Mazowieckie,Warsaw,Marszałkowska St,0, ,112
115,Poland,Mazowieckie,Warsaw,Nowy Świat,0, ,112
116,Poland,Mazowieckie,Warsaw,Krakowskie Przedmieście,0, ,112
117,Poland,Mazowieckie,Warsaw,Puławska St,0, ,112
118,Poland,Mazowieckie,Warsaw,Tamka St,0, ,112
119,Poland,Mazowieckie,Warsaw,Świętokrzyska St,0, ,112
120,Poland,Mazowieckie,Warsaw,Chmielna St,0, ,112
121,Poland,Mazowieckie,Warsaw,Żurawia St,0, ,112
122,Poland,Mazowieckie,Warsaw,Krucza St,0, ,112
123,Poland,Mazowieckie,Warsaw,Koszykowa St,0, ,112
124,Poland,Mazowieckie,Warsaw,Hoża St,0, ,112
125,Poland,Mazowieckie,Radom,,0, ,111
126,Poland,Mazowieckie,Radom,Żeromskiego St,0, ,125
127,Poland,Mazowieckie,Radom,25 Czerwca St,0, ,125
128,Poland,Mazowieckie,Radom,Traugutta St,0, ,125
129,Poland,Mazowieckie,Radom,Focha St,0, ,125
130,Poland,Mazowieckie,Radom,Słowackiego St,0, ,125
131,Poland,Mazowieckie,Radom,Okulickiego St,0, ,125
132,Poland,Mazowieckie,Radom,Warszawska St,0, ,125
133,Poland,Mazowieckie,Radom,Żółkiewskiego St,0, ,125
134,Poland,Mazowieckie,Radom,Konstytucji 3 Maja St,0, ,125
135,Poland,Mazowieckie,Radom,Moniuszki St,0, ,125
136,Poland,Mazowieckie,Płock,,0, ,111
137,Poland,Mazowieckie,Płock,Tumska St,0, ,136
138,Poland,Mazowieckie,Płock,Kobylińskiego St,0, ,136
139,Poland,Mazowieckie,Płock,Armii Krajowej St,0, ,136
140,Poland,Mazowieckie,Płock,Bielska St,0, ,136
141,Poland,Mazowieckie,Płock,Graniczna St,0, ,136
142,Poland,Mazowieckie,Płock,Dobrzyńska St,0, ,136
143,Poland,Mazowieckie,Płock,Łukasiewicza St,0, ,136
144,Poland,Mazowieckie,Płock,Mostowa St,0, ,136
145,Poland,Mazowieckie,Płock,Mazowiecka St,0, ,136
146,Poland,Mazowieckie,Płock,Żyzna St,0, ,136
147,Poland,Małopolskie,,,0, ,110
148,Poland,Małopolskie,Kraków,,0, ,147
149,Poland,Małopolskie,Kraków,Floriańska St,0, ,148
150,Poland,Małopolskie,Kraków,Grodzka St,0, ,148
151,Poland,Małopolskie,Kraków,Karmelicka St,0, ,148
152,Poland,Małopolskie,Kraków,Szewska St,0, ,148
153,Poland,Małopolskie,Kraków,Kazimierza Wielkiego St,0, ,148
154,Poland,Małopolskie,Kraków,Starowiślna St,0, ,148
155,Poland,Małopolskie,Kraków,Dietla St,0, ,148
156,Poland,Małopolskie,Kraków,Długa St,0, ,148
157,Poland,Małopolskie,Kraków,Basztowa St,0, ,148
158,Poland,Małopolskie,Kraków,Lubicz St,0, ,148
159,Poland,Małopolskie,Kraków,Świętego Tomasza St,0, ,148
160,Poland,Małopolskie,Tarnów,,0, ,147
161,Poland,Małopolskie,Tarnów,Wałowa St,0, ,160
162,Poland,Małopolskie,Tarnów,Krakowska St,0, ,160
163,Poland,Małopolskie,Tarnów,Lwowska St,0, ,160
164,Poland,Małopolskie,Tarnów,Słowackiego St,0, ,160
165,Poland,Małopolskie,Tarnów,Nowy Świat,0, ,160
166,Poland,Małopolskie,Tarnów,Szujskiego St,0, ,160
167,Poland,Małopolskie,Tarnów,Klikowska St,0, ,160
168,Poland,Małopolskie,Tarnów,Mościckiego Ave,0, ,160
169,Poland,Małopolskie,Tarnów,Broniewskiego St,0, ,160
170,Poland,Małopolskie,Tarnów,Bitwy pod Studziankami St,0, ,160
171,Poland,Małopolskie,Nowy Sącz,,0, ,147
172,Poland,Małopolskie,Nowy Sącz,Jagiellońska St,0, ,171
173,Poland,Małopolskie,Nowy Sącz,Długosza St,0, ,171
174,Poland,Małopolskie,Nowy Sącz,Lwowska St,0, ,171
175,Poland,Małopolskie,Nowy Sącz,Sobieskiego St,0, ,171
176,Poland,Małopolskie,Nowy Sącz,Barska St,0, ,171
177,Poland,Małopolskie,Nowy Sącz,Grottgera St,0, ,171
178,Poland,Małopolskie,Nowy Sącz,Piłsudskiego St,0, ,171
179,Poland,Małopolskie,Nowy Sącz,Królowa Jadwigi St,0, ,171
180,Poland,Małopolskie,Nowy Sącz,Broniewskiego St,0, ,171
181,Poland,Małopolskie,Nowy Sącz,Śniadeckich St,0, ,171
182,Poland,Dolnośląskie,,,0, ,110
183,Poland,Dolnośląskie,Wrocław,,0, ,182
184,Poland,Dolnośląskie,Wrocław,Świdnicka St,0, ,183
185,Poland,Dolnośląskie,Wrocław,Kazimierza Wielkiego St,0, ,183
186,Poland,Dolnośląskie,Wrocław,Oławska St,0, ,183
187,Poland,Dolnośląskie,Wrocław,Ruska St,0, ,183
188,Poland,Dolnośląskie,Wrocław,Legnicka St,0, ,183
189,Poland,Dolnośląskie,Wrocław,Krupnicza St,0, ,183
190,Poland,Dolnośląskie,Wrocław,Robotnicza St,0, ,183
191,Poland,Dolnośląskie,Wrocław,Grabiszyńska St,0, ,183
192,Poland,Dolnośląskie,Wrocław,Wita Stwosza St,0, ,183
193,Poland,Dolnośląskie,Wrocław,Nowowiejska St,0, ,183
194,Poland,Dolnośląskie,Legnica,,0, ,182
195,Poland,Dolnośląskie,Legnica,Najświętszej Marii Panny St,0, ,194
196,Poland,Dolnośląskie,Legnica,Wrocławska St,0, ,194
197,Poland,Dolnośląskie,Legnica,Złotoryjska St,0, ,194
198,Poland,Dolnośląskie,Legnica,Piłsudskiego St,0, ,194
199,Poland,Dolnośląskie,Legnica,Jaworzyńska St,0, ,194
200,Poland,Dolnośląskie,Legnica,Chojnowska St,0, ,194
201,Poland,Dolnośląskie,Legnica,Mickiewicza St,0, ,194
202,Poland,Dolnośląskie,Legnica,Pocztowa St,0, ,194
203,Poland,Dolnośląskie,Legnica,Nowa St,0, ,194
204,Poland,Dolnośląskie,Legnica,Dziennikarska St,0, ,194
205,Poland,Dolnośląskie,Jelenia Góra,,0, ,182
206,Poland,Dolnośląskie,Jelenia Góra,1 Maja St,0, ,205
207,Poland,Dolnośląskie,Jelenia Góra,Piłsudskiego St,0, ,205
208,Poland,Dolnośląskie,Jelenia Góra,Bankowa St,0, ,205
209,Poland,Dolnośląskie,Jelenia Góra,Sudecka St,0, ,205
210,Poland,Dolnośląskie,Jelenia Góra,Wolności St,0, ,205
211,Poland,Dolnośląskie,Jelenia Góra,Ogińskiego St,0, ,205
212,Poland,Dolnośląskie,Jelenia Góra,Sobieskiego St,0, ,205
213,Poland,Dolnośląskie,Jelenia Góra,Konstytucji 3 Maja St,0, ,205
214,Poland,Dolnośląskie,Jelenia Góra,Matejki St,0, ,205
215,Poland,Dolnośląskie,Jelenia Góra,Pijarska St,0, ,205
216,Germany,,,,0, ,0
217,Germany,Bavaria,,,0, ,216
218,Germany,Bavaria,Munich,,0, ,217
219,Germany,Bavaria,Munich,Leopoldstraße,0, ,218
220,Germany,Bavaria,Munich,Ludwigstraße,0, ,218
221,Germany,Bavaria,Munich,Maximilianstraße,0, ,218
222,Germany,Bavaria,Munich,Kaufingerstraße,0, ,218
223,Germany,Bavaria,Munich,Sendlinger Straße,0, ,218
224,Germany,Bavaria,Munich,Theresienstraße,0, ,218
225,Germany,Bavaria,Munich,Brienner Straße,0, ,218
226,Germany,Bavaria,Munich,Schwanthalerstraße,0, ,218
227,Germany,Bavaria,Munich,Dachauer Straße,0, ,218
228,Germany,Bavaria,Munich,Sonnenstraße,0, ,218
229,Germany,Bavaria,Munich,Fürstenrieder Straße,0, ,218
230,Germany,Bavaria,Munich,Rosenheimer Straße,0, ,218
231,Germany,Bavaria,Nuremberg,,0, ,217
232,Germany,Bavaria,Nuremberg,Königstraße,0, ,231
233,Germany,Bavaria,Nuremberg,Karolinenstraße,0, ,231
234,Germany,Bavaria,Nuremberg,Breite Gasse,0, ,231
235,Germany,Bavaria,Nuremberg,Färberstraße,0, ,231
236,Germany,Bavaria,Nuremberg,Bahnhofstraße,0, ,231
237,Germany,Bavaria,Nuremberg,Lorenzer Straße,0, ,231
238,Germany,Bavaria,Nuremberg,Jakobsplatz,0, ,231
239,Germany,Bavaria,Nuremberg,Vestnertorgraben,0, ,231
240,Germany,Bavaria,Nuremberg,Plobenhofstraße,0, ,231
241,Germany,Bavaria,Nuremberg,Allersberger Straße,0, ,231
242,Germany,Bavaria,Augsburg,,0, ,217
243,Germany,Bavaria,Augsburg,Maximilianstraße,0, ,242
244,Germany,Bavaria,Augsburg,Bahnhofstraße,0, ,242
245,Germany,Bavaria,Augsburg,Hermanstraße,0, ,242
246,Germany,Bavaria,Augsburg,Ulmer Straße,0, ,242
247,Germany,Bavaria,Augsburg,Jakoberstraße,0, ,242
248,Germany,Bavaria,Augsburg,Bürgermeister-Fischer-Straße,0, ,242
249,Germany,Bavaria,Augsburg,Karlstraße,0, ,242
250,Germany,Bavaria,Augsburg,Frauentorstraße,0, ,242
251,Germany,Bavaria,Augsburg,Jakobstraße,0, ,242
252,Germany,Bavaria,Augsburg,Konrad-Adenauer-Allee,0, ,242
253,Germany,North Rhine-Westphalia,,,0, ,216
254,Germany,North Rhine-Westphalia,Cologne,,0, ,253
255,Germany,North Rhine-Westphalia,Cologne,Hohe Straße,0, ,254
256,Germany,North Rhine-Westphalia,Cologne,Schildergasse,0, ,254
257,Germany,North Rhine-Westphalia,Cologne,Breite Straße,0, ,254
258,Germany,North Rhine-Westphalia,Cologne,Aachener Straße,0, ,254
259,Germany,North Rhine-Westphalia,Cologne,Venloer Straße,0, ,254
260,Germany,North Rhine-Westphalia,Cologne,Severinstraße,0, ,254
261,Germany,North Rhine-Westphalia,Cologne,Zülpicher Straße,0, ,254
262,Germany,North Rhine-Westphalia,Cologne,Ehrenstraße,0, ,254
263,Germany,North Rhine-Westphalia,Cologne,Neumarkt,0, ,254
264,Germany,North Rhine-Westphalia,Cologne,Eigelstein,0, ,254
265,Germany,North Rhine-Westphalia,Düsseldorf,,0, ,253
266,Germany,North Rhine-Westphalia,Düsseldorf,Königsallee,0, ,265
267,Germany,North Rhine-Westphalia,Düsseldorf,Schadowstraße,0, ,265
268,Germany,North Rhine-Westphalia,Düsseldorf,Flinger Straße,0, ,265
269,Germany,North Rhine-Westphalia,Düsseldorf,Bolkerstraße,0, ,265
270,Germany,North Rhine-Westphalia,Düsseldorf,Breite Straße,0, ,265
271,Germany,North Rhine-Westphalia,Düsseldorf,Friedrichstraße,0, ,265
272,Germany,North Rhine-Westphalia,Düsseldorf,Immermannstraße,0, ,265
273,Germany,North Rhine-Westphalia,Düsseldorf,Ackerstraße,0, ,265
274,Germany,North Rhine-Westphalia,Düsseldorf,Neustraße,0, ,265
275,Germany,North Rhine-Westphalia,Düsseldorf,Ratinger Straße,0, ,265
276,Germany,North Rhine-Westphalia,Bonn,,0, ,253
277,Germany,North Rhine-Westphalia,Bonn,Sternstraße,0, ,276
278,Germany,North Rhine-Westphalia,Bonn,Friedensplatz,0, ,276
279,Germany,North Rhine-Westphalia,Bonn,Oxfordstraße,0, ,276
280,Germany,North Rhine-Westphalia,Bonn,Kaiserstraße,0, ,276
281,Germany,North Rhine-Westphalia,Bonn,Adenauerallee,0, ,276
282,Germany,North Rhine-Westphalia,Bonn,Berliner Freiheit,0, ,276
283,Germany,North Rhine-Westphalia,Bonn,Colmantstraße,0, ,276
284,Germany,North Rhine-Westphalia,Bonn,Kölnstraße,0, ,276
285,Germany,North Rhine-Westphalia,Bonn,Wilhelmstraße,0, ,276
286,Germany,North Rhine-Westphalia,Bonn,Breite Straße,0, ,276
287,Germany,Berlin,,,0, ,216
288,Germany,Berlin,Berlin,,0, ,287
289,Germany,Berlin,Berlin,Unter den Linden,0, ,288
290,Germany,Berlin,Berlin,Friedrichstraße,0, ,288
291,Germany,Berlin,Berlin,Kurfürstendamm,0, ,288
292,Germany,Berlin,Berlin,Karl-Marx-Allee,0, ,288
293,Germany,Berlin,Berlin,Potsdamer Straße,0, ,288
294,Germany,Berlin,Berlin,Leipziger Straße,0, ,288
295,Germany,Berlin,Berlin,Oranienburger Straße,0, ,288
296,Germany,Berlin,Berlin,Invalidenstraße,0, ,288
297,Germany,Berlin,Berlin,Torstraße,0, ,288
298,Germany,Berlin,Berlin,Greifswalder Straße,0, ,288
299,Germany,Berlin,Berlin,Schönhauser Allee,0, ,288
300,Germany,Berlin,Berlin,Prenzlauer Allee,0, ,288
301,Romania,,,,0, ,0
302,Romania,Bucharest-Ilfov,,,0, ,301
303,Romania,Bucharest-Ilfov,Bucharest,,0, ,302
304,Romania,Bucharest-Ilfov,Bucharest,Calea Victoriei,0, ,303
305,Romania,Bucharest-Ilfov,Bucharest,Bulevardul Unirii,0, ,303
306,Romania,Bucharest-Ilfov,Bucharest,Calea Moșilor,0, ,303
307,Romania,Bucharest-Ilfov,Bucharest,Șoseaua Kiseleff,0, ,303
308,Romania,Bucharest-Ilfov,Bucharest,Calea Dorobanți,0, ,303
309,Romania,Bucharest-Ilfov,Bucharest,Strada Lipscani,0, ,303
310,Romania,Bucharest-Ilfov,Bucharest,Bulevardul Magheru,0, ,303
311,Romania,Bucharest-Ilfov,Bucharest,Strada Academiei,0, ,303
312,Romania,Bucharest-Ilfov,Bucharest,Șoseaua Pantelimon,0, ,303
313,Romania,Bucharest-Ilfov,Bucharest,Bulevardul Timișoara,0, ,303
314,Romania,Bucharest-Ilfov,Otopeni,,0, ,302
315,Romania,Bucharest-Ilfov,Otopeni,Calea Bucureștilor,0, ,314
316,Romania,Bucharest-Ilfov,Otopeni,Strada 23 August,0, ,314
317,Romania,Bucharest-Ilfov,Otopeni,Strada Viitorului,0, ,314
318,Romania,Bucharest-Ilfov,Otopeni,Strada Libertății,0, ,314
319,Romania,Bucharest-Ilfov,Otopeni,Strada Crinului,0, ,314
320,Romania,Bucharest-Ilfov,Otopeni,Strada Mihai Eminescu,0, ,314
321,Romania,Bucharest-Ilfov,Otopeni,Strada Griviței,0, ,314
322,Romania,Bucharest-Ilfov,Otopeni,Strada Mihai Viteazul,0, ,314
323,Romania,Bucharest-Ilfov,Otopeni,Strada Ștefan cel Mare,0, ,314
324,Romania,Bucharest-Ilfov,Otopeni,Strada Tudor Vladimirescu,0, ,314
325,Romania,Cluj,,,0, ,301
326,Romania,Cluj,Cluj-Napoca,,0, ,325
327,Romania,Cluj,Cluj-Napoca,Bulevardul Eroilor,0, ,326
328,Romania,Cluj,Cluj-Napoca,Piața Unirii,0, ,326
329,Romania,Cluj,Cluj-Napoca,Strada Memorandumului,0, ,326
330,Romania,Cluj,Cluj-Napoca,Calea Turzii,0, ,326
331,Romania,Cluj,Cluj-Napoca,Strada Moților,0, ,326
332,Romania,Cluj,Cluj-Napoca,Strada Horea,0, ,326
333,Romania,Cluj,Cluj-Napoca,Strada Avram Iancu,0, ,326
334,Romania,Cluj,Cluj-Napoca,Strada Universității,0, ,326
335,Romania,Cluj,Cluj-Napoca,Strada George Barițiu,0, ,326
336,Romania,Cluj,Cluj-Napoca,Strada Dorobanților,0, ,326
337,Romania,Cluj,Turda,,0, ,325
338,Romania,Cluj,Turda,Strada Republicii,0, ,337
339,Romania,Cluj,Turda,Strada Libertății,0, ,337
340,Romania,Cluj,Turda,Strada Gheorghe Doja,0, ,337
341,Romania,Cluj,Turda,Strada Avram Iancu,0, ,337
342,Romania,Cluj,Turda,Strada Mihai Viteazul,0, ,337
343,Romania,Cluj,Turda,Strada Constructorilor,0, ,337
344,Romania,Cluj,Turda,Strada Tineretului,0, ,337
345,Romania,Cluj,Turda,Strada Gării,0, ,337
346,Romania,Cluj,Turda,Strada Trandafirilor,0, ,337
347,Romania,Cluj,Turda,Strada Zambilelor,0, ,337
348,Romania,Timiș,,,0, ,301
349,Romania,Timiș,Timișoara,,0, ,348
350,Romania,Timiș,Timișoara,Piața Victoriei,0, ,349
351,Romania,Timiș,Timișoara,Bulevardul Revoluției,0, ,349
352,Romania,Timiș,Timișoara,Strada Alba Iulia,0, ,349
353,Romania,Timiș,Timișoara,Bulevardul Republicii,0, ,349
354,Romania,Timiș,Timișoara,Strada Gheorghe Lazăr,0, ,349
355,Romania,Timiș,Timișoara,Strada Take Ionescu,0, ,349
356,Romania,Timiș,Timișoara,Bulevardul Dacia,0, ,349
357,Romania,Timiș,Timișoara,Strada Arieș,0, ,349
358,Romania,Timiș,Timișoara,Strada Iancu de Hunedoara,0, ,349
359,Romania,Timiș,Timișoara,Bulevardul Liviu Rebreanu,0, ,349
360,Romania,Timiș,Lugoj,,0, ,348
361,Romania,Timiș,Lugoj,Strada Caransebeșului,0, ,360
362,Romania,Timiș,Lugoj,Strada Timișoarei,0, ,360
363,Romania,Timiș,Lugoj,Strada Bocșei,0, ,360
364,Romania,Timiș,Lugoj,Strada Astalaș,0, ,360
365,Romania,Timiș,Lugoj,Strada Buziașului,0, ,360
366,Romania,Timiș,Lugoj,Strada Ștrandului,0, ,360
367,Romania,Timiș,Lugoj,Strada Avram Iancu,0, ,360
368,Romania,Timiș,Lugoj,Strada Cloșca,0, ,360
369,Romania,Timiș,Lugoj,Strada Eftimie Murgu,0, ,360
370,Romania,Timiș,Lugoj,Strada Ion Creangă,0, ,360
371,Hungary,,,,0, ,0
372,Hungary,Central Hungary,,,0, ,371
373,Hungary,Central Hungary,Budapest,,0, ,372
374,Hungary,Central Hungary,Budapest,Andrássy út,0, ,373
375,Hungary,Central Hungary,Budapest,Váci utca,0, ,373
376,Hungary,Central Hungary,Budapest,Kossuth Lajos utca,0, ,373
377,Hungary,Central Hungary,Budapest,Rákóczi út,0, ,373
378,Hungary,Central Hungary,Budapest,Bartók Béla út,0, ,373
379,Hungary,Central Hungary,Budapest,Október huszonharmadika utca,0, ,373
380,Hungary,Central Hungary,Budapest,Margit körút,0, ,373
381,Hungary,Central Hungary,Budapest,Nagykörút,0, ,373
382,Hungary,Central Hungary,Budapest,Üllői út,0, ,373
383,Hungary,Central Hungary,Budapest,Bajcsy-Zsilinszky út,0, ,373
384,Hungary,Central Hungary,Szentendre,,0, ,372
385,Hungary,Central Hungary,Szentendre,Fő tér,0, ,384
386,Hungary,Central Hungary,Szentendre,Dumtsa Jenő utca,0, ,384
387,Hungary,Central Hungary,Szentendre,Duna korzó,0, ,384
388,Hungary,Central Hungary,Szentendre,Bogdányi út,0, ,384
389,Hungary,Central Hungary,Szentendre,Kossuth Lajos utca,0, ,384
390,Hungary,Central Hungary,Szentendre,Árpád utca,0, ,384
391,Hungary,Central Hungary,Szentendre,Rákóczi Ferenc utca,0, ,384
392,Hungary,Central Hungary,Szentendre,Petőfi Sándor utca,0, ,384
393,Hungary,Central Hungary,Szentendre,Barcsay utca,0, ,384
394,Hungary,Central Hungary,Szentendre,Ady Endre utca,0, ,384
395,Hungary,Northern Great Plain,,,0, ,371
396,Hungary,Northern Great Plain,Debrecen,,0, ,395
397,Hungary,Northern Great Plain,Debrecen,Piac utca,0, ,396
398,Hungary,Northern Great Plain,Debrecen,Kossuth utca,0, ,396
399,Hungary,Northern Great Plain,Debrecen,Nagyerdei körút,0, ,396
400,Hungary,Northern Great Plain,Debrecen,Böszörményi út,0, ,396
401,Hungary,Northern Great Plain,Debrecen,Csapó utca,0, ,396
402,Hungary,Northern Great Plain,Debrecen,Darabos utca,0, ,396
403,Hungary,Northern Great Plain,Debrecen,Arany János utca,0, ,396
404,Hungary,Northern Great Plain,Debrecen,Béke utca,0, ,396
405,Hungary,Northern Great Plain,Debrecen,Wesselényi utca,0, ,396
406,Hungary,Northern Great Plain,Debrecen,Nyíl utca,0, ,396
407,Hungary,Northern Great Plain,Nyíregyháza,,0, ,395
408,Hungary,Northern Great Plain,Nyíregyháza,Kossuth tér,0, ,407
409,Hungary,Northern Great Plain,Nyíregyháza,Dózsa György utca,0, ,407
410,Hungary,Northern Great Plain,Nyíregyháza,Rákóczi utca,0, ,407
411,Hungary,Northern Great Plain,Nyíregyháza,Hősök tere,0, ,407
412,Hungary,Northern Great Plain,Nyíregyháza,Széchenyi utca,0, ,407
413,Hungary,Northern Great Plain,Nyíregyháza,Korányi Frigyes utca,0, ,407
