wh_id,product_id,supplier_id,price,procurement,markup,sales_price,stock_quantity
45,810,9,35.58,0.4,0.25,44.47,72
46,810,7,35.17,0.38,0.25,43.96,36
47,810,10,34.97,0.36,0.25,43.71,12
48,3985,10,2139.93,0.41,0.25,2674.91,74
49,3985,7,2328.74,0.48,0.25,2910.92,34
50,3985,5,1963.7,0.13,0.25,2454.62,26
51,3985,2,2215.45,0.5,0.25,2769.31,35
52,3985,4,1988.87,0.33,0.25,2486.09,87
53,3227,3,146.48,0.12,0.25,183.1,36
54,3227,6,140.51,0.37,0.25,175.64,33
55,3227,9,139.66,0.31,0.25,174.58,90
56,2949,5,44.12,0.14,0.25,55.15,90
57,2949,2,43.31,0.37,0.25,54.14,64
58,2949,7,40.88,0.3,0.25,51.1,64
59,2949,9,44.94,0.31,0.25,56.18,88
60,2949,3,42.23,0.11,0.25,52.79,47
61,2949,8,44.12,0.32,0.25,55.15,22
62,516,3,248.45,0.14,0.25,310.56,13
63,516,1,275.52,0.42,0.25,344.4,53
64,516,2,258.0,0.4,0.25,322.5,59
65,516,10,261.19,0.41,0.25,326.49,50
66,516,9,283.48,0.39,0.25,354.35,17
67,3731,5,1629.23,0.1,0.25,2036.54,13
68,3731,1,1810.26,0.41,0.25,2262.82,62
69,3731,6,1619.18,0.37,0.25,2023.98,48
70,1759,5,515.8,0.15,0.25,644.75,81
71,1759,8,556.19,0.44,0.25,695.24,61
72,1759,7,584.15,0.48,0.25,730.19,26
73,3293,10,564.24,0.42,0.25,705.3,99
74,3293,8,560.86,0.37,0.25,701.08,60
75,3293,6,591.27,0.42,0.25,739.09,13
76,3293,5,567.62,0.12,0.25,709.52,62
77,526,8,129.39,0.31,0.25,161.74,48
78,526,2,137.85,0.39,0.25,172.31,62
79,526,3,131.93,0.14,0.25,164.91,71
80,526,4,143.77,0.34,0.25,179.71,39
81,526,10,149.69,0.38,0.25,187.11,19
82,526,7,159.84,0.49,0.25,199.8,29
83,1170,4,239.32,0.44,0.25,299.15,71
84,1170,10,204.94,0.32,0.25,256.18,35
85,1170,1,230.06,0.46,0.25,287.58,46
86,1170,3,214.2,0.13,0.25,267.75,63
87,1170,9,216.84,0.31,0.25,271.05,13
88,2557,4,213.1,0.44,0.25,266.38,63
89,2557,5,204.38,0.11,0.25,255.48,55
90,2557,3,206.87,0.13,0.25,258.59,87
91,2557,9,208.12,0.4,0.25,260.15,66
92,755,8,15.42,0.34,0.25,19.27,75
93,755,2,17.91,0.4,0.25,22.39,32
94,755,3,16.32,0.14,0.25,20.4,87
95,755,9,15.52,0.34,0.25,19.4,85
96,755,5,16.92,0.14,0.25,21.15,75
97,2986,10,211.12,0.39,0.25,263.9,52
98,2986,4,195.07,0.38,0.25,243.84,67
99,2986,1,214.82,0.44,0.25,268.52,91
100,2986,3,202.47,0.15,0.25,253.09,24
101,4942,9,127.58,0.49,0.25,159.48,41
102,4942,3,126.84,0.14,0.25,158.55,33
103,4942,8,121.61,0.31,0.25,152.01,49
104,1544,5,226.14,0.1,0.25,282.67,76
105,1544,6,236.04,0.31,0.25,295.05,100
106,1544,7,226.14,0.33,0.25,282.67,42
107,2952,5,141.58,0.1,0.25,176.98,74
108,2952,6,148.36,0.5,0.25,185.45,16
109,2952,9,137.34,0.36,0.25,171.68,12
110,1078,1,97.18,0.42,0.25,121.48,87
111,1078,9,96.59,0.31,0.25,120.74,20
112,1078,6,104.79,0.43,0.25,130.99,55
113,1078,7,103.62,0.5,0.25,129.52,61
114,1916,3,21.98,0.13,0.25,27.48,87
115,1916,8,21.58,0.32,0.25,26.98,81
116,1916,4,23.04,0.4,0.25,28.8,87
117,1916,5,22.91,0.14,0.25,28.64,40
118,2804,4,307.79,0.44,0.25,384.74,42
119,2804,5,273.01,0.15,0.25,341.26,60
120,2804,8,292.14,0.41,0.25,365.17,49
121,2804,9,290.4,0.42,0.25,363.0,21
122,2804,1,307.79,0.43,0.25,384.74,11
123,2804,7,300.83,0.33,0.25,376.04,29
124,680,1,76.49,0.46,0.25,95.61,80
125,680,10,78.32,0.35,0.25,97.9,64
126,680,8,70.99,0.34,0.25,88.74,15
127,680,3,74.2,0.13,0.25,92.75,81
128,680,4,77.86,0.33,0.25,97.32,24
129,1993,4,28.98,0.43,0.25,36.22,39
130,1993,8,28.13,0.31,0.25,35.16,14
131,1993,5,25.92,0.1,0.25,32.4,47
132,1993,3,26.6,0.12,0.25,33.25,99
133,1993,7,31.2,0.44,0.25,39.0,32
134,1993,2,30.18,0.49,0.25,37.72,76
135,5358,6,309.19,0.36,0.25,386.49,31
136,5358,3,311.09,0.13,0.25,388.86,33
137,5358,8,324.37,0.5,0.25,405.46,69
138,5358,2,301.61,0.35,0.25,377.01,10
139,5358,10,316.78,0.44,0.25,395.98,20
140,5358,9,318.68,0.39,0.25,398.35,98
141,2039,4,9.41,0.3,0.25,11.76,37
142,2039,7,9.86,0.49,0.25,12.32,64
143,2039,5,8.78,0.12,0.25,10.98,71
144,2039,3,9.4,0.13,0.25,11.75,70
145,5387,1,102.09,0.36,0.25,127.61,51
146,5387,6,99.15,0.41,0.25,123.94,24
147,5387,4,99.15,0.38,0.25,123.94,67
148,5387,10,104.43,0.47,0.25,130.54,37
149,5387,5,90.94,0.13,0.25,113.68,39
150,89,7,1459.61,0.34,0.25,1824.51,44
151,89,3,1451.12,0.12,0.25,1813.9,90
152,89,2,1459.61,0.47,0.25,1824.51,83
153,910,5,142.41,0.15,0.25,178.01,47
154,910,7,144.08,0.4,0.25,180.1,89
155,910,10,146.6,0.39,0.25,183.25,62
156,3397,4,7113.35,0.36,0.25,8891.69,72
157,3397,9,7031.58,0.37,0.25,8789.48,27
158,3397,3,6704.53,0.15,0.25,8380.66,59
159,3397,2,7235.99,0.38,0.25,9044.99,70
160,1189,8,22.46,0.4,0.25,28.08,46
161,1189,9,23.53,0.45,0.25,29.41,63
162,1189,6,21.12,0.3,0.25,26.4,36
163,2693,5,42.25,0.11,0.25,52.81,81
164,2693,2,46.73,0.41,0.25,58.41,90
165,2693,6,50.92,0.44,0.25,63.65,48
166,2693,7,44.77,0.34,0.25,55.96,27
167,2693,3,48.13,0.15,0.25,60.16,21
168,2693,4,43.09,0.31,0.25,53.86,85
169,1932,5,27.16,0.14,0.25,33.95,48
170,1932,9,27.99,0.43,0.25,34.99,35
171,1932,3,25.83,0.14,0.25,32.29,14
172,1932,10,29.64,0.49,0.25,37.05,10
173,1304,10,67.5,0.37,0.25,84.38,98
174,1304,1,70.29,0.43,0.25,87.86,18
175,1304,4,65.9,0.38,0.25,82.38,85
176,1304,5,63.9,0.15,0.25,79.88,65
177,1304,8,69.5,0.49,0.25,86.88,40
178,2217,5,151.73,0.13,0.25,189.66,94
179,2217,7,151.73,0.37,0.25,189.66,78
180,2217,10,154.42,0.41,0.25,193.02,31
181,2217,4,161.6,0.44,0.25,202.0,22
182,2217,1,156.22,0.49,0.25,195.28,49
183,2217,2,156.22,0.46,0.25,195.28,62
184,5400,10,79.81,0.31,0.25,99.76,63
185,5400,3,84.96,0.12,0.25,106.2,70
186,5400,5,81.87,0.11,0.25,102.34,52
187,5400,7,88.56,0.49,0.25,110.7,24
188,5400,8,82.9,0.37,0.25,103.62,25
189,1550,10,399.04,0.49,0.25,498.8,56
190,1550,8,385.88,0.42,0.25,482.35,49
191,1550,7,388.07,0.42,0.25,485.09,45
192,4334,5,575.02,0.11,0.25,718.78,46
193,4334,10,597.13,0.38,0.25,746.41,70
194,4334,6,615.56,0.32,0.25,769.45,34
195,4334,8,586.07,0.31,0.25,732.59,68
196,4334,7,674.54,0.48,0.25,843.18,53
197,4334,2,659.79,0.5,0.25,824.74,62
198,1370,4,108.02,0.37,0.25,135.02,10
199,1370,3,97.16,0.1,0.25,121.45,88
200,1370,1,107.39,0.45,0.25,134.24,51
201,4750,10,395.44,0.47,0.25,494.3,63
202,4750,8,418.84,0.45,0.25,523.55,90
203,4750,2,383.74,0.41,0.25,479.68,21
204,4750,5,372.04,0.12,0.25,465.05,90
205,4750,3,386.08,0.13,0.25,482.6,26
206,4750,9,411.82,0.43,0.25,514.78,83
207,1079,9,198.46,0.32,0.25,248.08,17
208,1079,6,213.91,0.45,0.25,267.39,90
209,1079,10,203.22,0.35,0.25,254.02,40
210,5390,7,64.66,0.37,0.25,80.82,88
211,5390,1,59.27,0.32,0.25,74.09,32
212,5390,5,60.04,0.11,0.25,75.05,66
213,4862,4,103.49,0.49,0.25,129.36,69
214,4862,7,101.84,0.46,0.25,127.3,15
215,4862,8,93.58,0.45,0.25,116.98,56
216,4862,1,100.19,0.5,0.25,125.24,30
217,4977,8,401.64,0.37,0.25,502.05,94
218,4977,7,389.47,0.32,0.25,486.84,79
219,4977,5,423.55,0.15,0.25,529.44,33
220,4977,10,423.55,0.4,0.25,529.44,90
221,4977,4,438.16,0.41,0.25,547.7,22
222,4721,1,628.83,0.49,0.25,786.04,44
223,4721,9,618.64,0.43,0.25,773.3,55
224,4721,5,533.66,0.13,0.25,667.08,86
225,4721,7,560.85,0.37,0.25,701.06,66
226,4721,6,577.85,0.32,0.25,722.31,84
227,4038,1,1949.16,0.47,0.25,2436.45,84
228,4038,10,1904.09,0.36,0.25,2380.11,19
229,4038,8,1915.36,0.34,0.25,2394.2,93
230,4038,5,1780.15,0.14,0.25,2225.19,21
231,4038,7,1926.62,0.48,0.25,2408.27,84
232,2771,4,136.05,0.41,0.25,170.06,91
233,2771,7,119.44,0.3,0.25,149.3,63
234,2771,8,139.22,0.5,0.25,174.02,65
235,2771,5,136.05,0.14,0.25,170.06,52
236,2771,6,131.31,0.32,0.25,164.14,27
237,2771,1,147.92,0.49,0.25,184.9,39
238,781,5,51.53,0.12,0.25,64.41,33
239,781,10,51.53,0.39,0.25,64.41,32
240,781,7,48.48,0.31,0.25,60.6,26
241,781,6,50.0,0.37,0.25,62.5,55
242,2602,3,167.24,0.1,0.25,209.05,70
243,2602,9,162.29,0.31,0.25,202.86,69
244,2602,4,154.38,0.35,0.25,192.98,94
245,2602,8,163.28,0.32,0.25,204.1,60
246,1331,1,159.76,0.46,0.25,199.7,65
247,1331,10,163.34,0.46,0.25,204.18,53
248,1331,7,139.11,0.35,0.25,173.89,91
249,3896,1,1815.57,0.42,0.25,2269.46,86
250,3896,6,1718.88,0.37,0.25,2148.6,79
251,3896,3,1729.62,0.11,0.25,2162.02,74
252,3896,7,1837.05,0.39,0.25,2296.31,17
253,3896,8,1686.65,0.36,0.25,2108.31,15
254,3896,2,1729.62,0.39,0.25,2162.02,23
255,446,6,412.19,0.3,0.25,515.24,51
256,446,5,409.69,0.12,0.25,512.11,83
257,446,3,397.2,0.11,0.25,496.5,62
258,446,4,437.17,0.5,0.25,546.46,14
259,3841,8,2241.72,0.45,0.25,2802.15,15
260,3841,10,2200.96,0.36,0.25,2751.2,78
261,3841,4,2200.96,0.34,0.25,2751.2,27
262,3841,5,2160.21,0.14,0.25,2700.26,32
263,4667,6,536.38,0.49,0.25,670.48,95
264,4667,7,542.69,0.32,0.25,678.36,77
265,4667,8,520.61,0.31,0.25,650.76,19
266,4667,3,533.23,0.11,0.25,666.54,55
267,4667,9,577.4,0.46,0.25,721.75,50
268,4667,1,517.45,0.37,0.25,646.81,59
269,3788,6,811.03,0.37,0.25,1013.79,67
270,3788,4,746.51,0.41,0.25,933.14,98
271,3788,9,801.81,0.43,0.25,1002.26,46
272,3788,3,783.38,0.13,0.25,979.22,70
273,3788,7,820.24,0.43,0.25,1025.3,52
274,135,4,866.83,0.42,0.25,1083.54,16
275,135,6,856.51,0.34,0.25,1070.64,35
276,135,3,871.99,0.12,0.25,1089.99,100
277,135,5,871.99,0.14,0.25,1089.99,13
278,135,10,846.19,0.34,0.25,1057.74,79
279,2178,1,19.05,0.36,0.25,23.81,92
280,2178,5,16.97,0.11,0.25,21.21,32
281,2178,2,17.08,0.31,0.25,21.35,58
282,3433,4,7539.15,0.31,0.25,9423.94,33
283,3433,6,8147.9,0.44,0.25,10184.88,53
284,3433,1,7913.76,0.37,0.25,9892.2,51
285,3433,3,7258.18,0.14,0.25,9072.72,74
286,3433,5,7632.8,0.14,0.25,9541.0,19
287,3433,7,8663.0,0.46,0.25,10828.75,11
288,3914,9,1785.85,0.32,0.25,2232.31,11
289,3914,4,2062.37,0.49,0.25,2577.96,63
290,3914,7,1935.63,0.48,0.25,2419.54,27
291,3914,6,2004.76,0.48,0.25,2505.95,83
292,3914,8,1924.11,0.36,0.25,2405.14,96
293,3691,9,8359.67,0.47,0.25,10449.59,55
294,3691,4,8834.65,0.47,0.25,11043.31,91
295,3691,3,7694.69,0.1,0.25,9618.36,86
296,3691,1,8122.18,0.41,0.25,10152.72,53
297,3691,5,7979.68,0.1,0.25,9974.6,74
298,3318,7,1191.23,0.49,0.25,1489.04,46
299,3318,3,1046.44,0.14,0.25,1308.05,76
300,3318,1,1158.33,0.44,0.25,1447.91,72
301,2566,1,197.1,0.3,0.25,246.38,88
302,2566,8,215.58,0.46,0.25,269.48,99
303,2566,9,206.96,0.39,0.25,258.7,55
304,4410,3,677.62,0.12,0.25,847.02,79
305,4410,6,669.65,0.41,0.25,837.06,60
306,4410,7,693.56,0.45,0.25,866.95,99
307,4410,2,701.54,0.44,0.25,876.92,93
308,2074,1,17.66,0.37,0.25,22.08,81
309,2074,4,18.47,0.47,0.25,23.09,59
310,2074,10,17.66,0.44,0.25,22.08,28
311,2953,8,207.74,0.48,0.25,259.68,20
312,2953,7,189.67,0.33,0.25,237.09,49
313,2953,2,184.03,0.42,0.25,230.04,85
314,2953,1,188.54,0.38,0.25,235.68,48
315,2953,5,196.45,0.14,0.25,245.56,57
316,2953,10,177.25,0.36,0.25,221.56,37
317,2007,1,23.85,0.47,0.25,29.81,38
318,2007,7,22.26,0.4,0.25,27.83,73
319,2007,5,21.86,0.15,0.25,27.32,95
320,1496,6,625.4,0.31,0.25,781.75,67
321,1496,10,662.85,0.5,0.25,828.56,58
322,1496,5,632.89,0.13,0.25,791.11,29
323,1496,1,666.59,0.5,0.25,833.24,83
324,2173,6,25.7,0.36,0.25,32.12,31
325,2173,2,24.18,0.3,0.25,30.22,28
326,2173,1,24.64,0.32,0.25,30.8,16
327,3517,8,933.35,0.36,0.25,1166.69,49
328,3517,1,1003.79,0.49,0.25,1254.74,71
329,3517,10,974.44,0.44,0.25,1218.05,83
330,3517,5,986.18,0.14,0.25,1232.72,61
331,4796,9,55.67,0.43,0.25,69.59,44
332,4796,2,54.38,0.37,0.25,67.98,87
333,4796,5,53.42,0.15,0.25,66.78,93
334,4796,1,55.99,0.5,0.25,69.99,15
335,4796,7,54.38,0.37,0.25,67.98,44
336,4796,3,51.81,0.1,0.25,64.76,12
337,3418,6,7371.04,0.43,0.25,9213.8,93
338,3418,10,7004.53,0.49,0.25,8755.66,38
339,3418,5,6923.08,0.13,0.25,8653.85,56
340,3418,4,6800.91,0.35,0.25,8501.14,85
341,323,8,276.36,0.4,0.25,345.45,50
342,323,10,305.54,0.42,0.25,381.92,21
343,323,4,303.82,0.49,0.25,379.78,52
344,323,2,312.4,0.43,0.25,390.5,70
345,323,9,279.79,0.42,0.25,349.74,70
346,323,3,278.07,0.12,0.25,347.59,51
347,1453,6,109.52,0.32,0.25,136.9,44
348,1453,2,127.89,0.48,0.25,159.86,61
349,1453,1,115.88,0.31,0.25,144.85,18
350,1453,7,129.31,0.45,0.25,161.64,47
351,4021,4,1965.51,0.32,0.25,2456.89,91
352,4021,6,2119.67,0.44,0.25,2649.59,60
353,4021,3,2196.75,0.15,0.25,2745.94,65
354,4021,9,2196.75,0.34,0.25,2745.94,88
355,4021,5,2042.59,0.12,0.25,2553.24,94
356,4021,1,2029.75,0.31,0.25,2537.19,87
357,4920,10,234.32,0.39,0.25,292.9,61
358,4920,2,228.84,0.4,0.25,286.05,15
359,4920,3,213.77,0.14,0.25,267.21,39
360,4920,6,254.88,0.47,0.25,318.6,53
361,4920,7,235.69,0.49,0.25,294.61,84
362,1275,10,52.47,0.48,0.25,65.59,19
363,1275,6,47.11,0.41,0.25,58.89,72
364,1275,8,45.7,0.4,0.25,57.12,97
365,1275,9,49.93,0.48,0.25,62.41,11
366,1275,3,48.24,0.12,0.25,60.3,62
367,1275,1,46.55,0.41,0.25,58.19,14
368,513,3,459.87,0.1,0.25,574.84,41
369,513,9,487.57,0.38,0.25,609.46,73
370,513,1,479.26,0.39,0.25,599.08,78
371,513,4,454.33,0.39,0.25,567.91,29
372,513,6,451.56,0.36,0.25,564.45,70
373,2706,3,85.31,0.12,0.25,106.64,51
374,2706,7,89.47,0.45,0.25,111.84,40
375,2706,1,85.31,0.33,0.25,106.64,43
376,2706,4,94.16,0.44,0.25,117.7,47
377,2706,5,82.71,0.13,0.25,103.39,30
378,609,7,16.82,0.45,0.25,21.02,44
379,609,10,14.61,0.36,0.25,18.26,72
380,609,3,15.71,0.14,0.25,19.64,53
381,609,2,16.82,0.47,0.25,21.02,100
382,609,9,15.44,0.46,0.25,19.3,91
383,2598,1,22.2,0.47,0.25,27.75,24
384,2598,7,20.62,0.47,0.25,25.78,57
385,2598,3,20.37,0.14,0.25,25.46,11
386,2598,5,19.76,0.13,0.25,24.7,72
387,2598,10,20.86,0.35,0.25,26.08,47
388,2598,2,19.89,0.34,0.25,24.86,48
389,2765,10,141.95,0.41,0.25,177.44,43
390,2765,1,147.69,0.48,0.25,184.61,42
391,2765,3,141.13,0.13,0.25,176.41,100
392,2186,1,7.37,0.35,0.25,9.21,76
393,2186,10,7.55,0.48,0.25,9.44,54
394,2186,4,7.77,0.43,0.25,9.71,71
395,2186,6,7.41,0.34,0.25,9.26,72
396,2186,7,7.1,0.33,0.25,8.88,77
397,2186,3,7.24,0.15,0.25,9.05,94
398,1717,1,289.12,0.41,0.25,361.4,70
399,1717,6,285.72,0.36,0.25,357.15,58
400,1717,7,260.21,0.31,0.25,325.26,25
401,1717,5,277.21,0.12,0.25,346.51,91
402,636,5,44.48,0.12,0.25,55.6,66
403,636,1,43.91,0.34,0.25,54.89,23
404,636,8,49.58,0.45,0.25,61.97,16
405,1216,5,213.61,0.11,0.25,267.01,43
406,1216,7,199.45,0.31,0.25,249.31,87
407,1216,2,229.05,0.45,0.25,286.31,46
408,1216,9,214.9,0.33,0.25,268.62,70
409,3628,6,1583.55,0.41,0.25,1979.44,97
410,3628,8,1592.98,0.47,0.25,1991.22,59
411,3628,3,1555.27,0.14,0.25,1944.09,11
412,3628,10,1687.24,0.49,0.25,2109.05,65
413,3628,1,1658.96,0.5,0.25,2073.7,51
414,5117,4,259.79,0.33,0.25,324.74,54
415,5117,3,275.93,0.14,0.25,344.91,32
416,5117,7,267.86,0.3,0.25,334.83,79
417,5117,9,279.15,0.35,0.25,348.94,38
418,5117,1,267.86,0.3,0.25,334.83,56
419,4147,10,706.11,0.44,0.25,882.64,18
420,4147,5,702.01,0.14,0.25,877.51,49
421,4147,2,689.69,0.31,0.25,862.11,34
422,4147,3,677.37,0.1,0.25,846.71,59
423,1439,6,78.57,0.32,0.25,98.21,92
424,1439,4,81.35,0.38,0.25,101.69,84
425,1439,7,79.04,0.36,0.25,98.8,80
426,1439,9,79.96,0.48,0.25,99.95,55
427,1439,5,70.72,0.12,0.25,88.4,66
428,1439,10,75.34,0.39,0.25,94.18,89
429,423,9,268.58,0.3,0.25,335.72,66
430,423,1,287.04,0.43,0.25,358.8,76
431,423,2,290.4,0.44,0.25,363.0,50
432,423,3,258.5,0.13,0.25,323.12,65
433,995,8,100.94,0.38,0.25,126.18,40
434,995,2,101.51,0.38,0.25,126.89,75
435,995,9,90.04,0.31,0.25,112.55,18
436,995,5,95.2,0.11,0.25,119.0,60
437,1715,4,599.86,0.46,0.25,749.82,90
438,1715,3,560.58,0.12,0.25,700.72,93
439,1715,2,649.85,0.5,0.25,812.31,81
440,1715,5,610.57,0.15,0.25,763.21,40
441,4880,1,509.43,0.32,0.25,636.79,61
442,4880,8,497.01,0.31,0.25,621.26,92
443,4880,7,549.82,0.39,0.25,687.28,77
444,1111,10,58.17,0.5,0.25,72.71,17
445,1111,1,57.17,0.39,0.25,71.46,58
446,1111,5,57.17,0.13,0.25,71.46,67
447,1111,8,55.51,0.34,0.25,69.39,75
448,1111,6,56.51,0.38,0.25,70.64,35
449,400,7,232.54,0.34,0.25,290.68,39
450,400,1,243.55,0.48,0.25,304.44,84
451,400,10,221.54,0.38,0.25,276.92,86
452,400,5,214.66,0.1,0.25,268.32,50
453,4580,9,2157.08,0.45,0.25,2696.35,29
454,4580,6,1998.65,0.41,0.25,2498.31,29
455,4580,7,2059.59,0.37,0.25,2574.49,75
456,4580,5,2023.03,0.13,0.25,2528.79,58
457,4580,8,2169.27,0.43,0.25,2711.59,98
458,4478,4,193.41,0.41,0.25,241.76,36
459,4478,5,178.8,0.11,0.25,223.5,100
460,4478,7,196.79,0.47,0.25,245.99,47
461,4478,6,194.54,0.4,0.25,243.18,90
462,1655,5,501.7,0.13,0.25,627.12,38
463,1655,4,477.67,0.39,0.25,597.09,58
464,1655,3,498.7,0.14,0.25,623.38,60
465,5324,8,386.8,0.36,0.25,483.5,87
466,5324,4,420.93,0.49,0.25,526.16,61
467,5324,2,386.8,0.32,0.25,483.5,79
468,5324,3,352.67,0.11,0.25,440.84,61
469,5324,7,409.55,0.42,0.25,511.94,21
470,5324,6,398.18,0.46,0.25,497.72,59
471,1141,5,198.57,0.13,0.25,248.21,12
472,1141,1,203.35,0.44,0.25,254.19,69
473,1141,2,196.18,0.43,0.25,245.23,100
474,1141,3,205.75,0.14,0.25,257.19,73
475,1141,8,214.12,0.42,0.25,267.65,61
476,1385,5,26.6,0.14,0.25,33.25,86
477,1385,6,26.93,0.39,0.25,33.66,40
478,1385,7,27.91,0.36,0.25,34.89,74
479,1385,10,29.88,0.44,0.25,37.35,88
480,1385,9,30.05,0.44,0.25,37.56,97
481,2121,4,19.86,0.42,0.25,24.82,51
482,2121,1,21.07,0.35,0.25,26.34,14
483,2121,3,18.53,0.11,0.25,23.16,68
484,1378,4,147.02,0.49,0.25,183.78,88
485,1378,1,140.49,0.45,0.25,175.61,57
486,1378,7,138.04,0.31,0.25,172.55,39
487,1378,3,135.59,0.14,0.25,169.49,39
488,1378,10,136.41,0.42,0.25,170.51,32
489,2782,9,173.5,0.47,0.25,216.88,71
490,2782,4,168.73,0.45,0.25,210.91,42
491,2782,10,152.53,0.4,0.25,190.66,59
492,2782,2,154.43,0.3,0.25,193.04,86
493,2782,1,153.48,0.38,0.25,191.85,58
494,1510,1,769.07,0.42,0.25,961.34,42
495,1510,7,804.23,0.43,0.25,1005.29,37
496,1510,10,681.18,0.35,0.25,851.47,24
497,5215,10,99.79,0.33,0.25,124.74,73
498,5215,4,118.05,0.41,0.25,147.56,99
499,5215,3,100.44,0.12,0.25,125.55,54
500,5215,9,110.22,0.35,0.25,137.78,88
501,5063,8,630.29,0.31,0.25,787.86,62
502,5063,4,715.36,0.46,0.25,894.2,99
503,5063,2,672.82,0.42,0.25,841.03,19
504,5127,6,492.41,0.4,0.25,615.51,51
505,5127,7,514.8,0.46,0.25,643.5,20
506,5127,8,506.4,0.49,0.25,633.0,64
507,5127,3,486.82,0.14,0.25,608.52,85
508,5127,2,500.81,0.46,0.25,626.01,71
509,4387,10,1966.44,0.46,0.25,2458.05,69
510,4387,8,1945.07,0.48,0.25,2431.34,42
511,4387,1,1795.45,0.43,0.25,2244.31,64
512,4387,3,1763.39,0.11,0.25,2204.24,91
513,4387,9,1731.33,0.36,0.25,2164.16,57
514,352,5,286.04,0.11,0.25,357.55,40
515,352,2,318.83,0.47,0.25,398.54,54
516,352,8,289.68,0.36,0.25,362.1,97
517,352,10,318.83,0.49,0.25,398.54,65
518,352,3,280.57,0.11,0.25,350.71,12
519,2961,5,21.52,0.11,0.25,26.9,84
520,2961,1,21.66,0.36,0.25,27.08,80
521,2961,2,23.86,0.45,0.25,29.82,26
522,2961,6,23.44,0.43,0.25,29.3,84
523,2961,8,24.4,0.49,0.25,30.5,61
524,4740,5,607.75,0.11,0.25,759.69,64
525,4740,1,618.87,0.35,0.25,773.59,34
526,4740,7,581.81,0.32,0.25,727.26,99
527,4740,8,607.75,0.4,0.25,759.69,89
528,871,3,81.6,0.12,0.25,102.0,63
529,871,8,84.15,0.33,0.25,105.19,72
530,871,4,87.21,0.46,0.25,109.01,85
531,2564,8,8.08,0.44,0.25,10.1,72
532,2564,7,7.5,0.35,0.25,9.38,81
533,2564,10,7.5,0.35,0.25,9.38,40
534,1517,9,329.02,0.44,0.25,411.28,58
535,1517,1,325.37,0.43,0.25,406.71,94
536,1517,8,329.02,0.46,0.25,411.28,99
537,1517,5,316.23,0.14,0.25,395.29,15
538,1517,10,294.29,0.37,0.25,367.86,11
539,1517,3,294.29,0.11,0.25,367.86,61
540,864,1,19.98,0.32,0.25,24.98,81
541,864,3,19.48,0.13,0.25,24.35,61
542,864,2,21.73,0.34,0.25,27.16,98
543,864,8,21.86,0.48,0.25,27.32,29
544,864,6,21.98,0.44,0.25,27.48,26
545,3368,3,6715.04,0.15,0.25,8393.8,12
546,3368,8,7554.42,0.45,0.25,9443.02,29
547,3368,1,7134.73,0.44,0.25,8918.41,56
548,3368,4,7218.67,0.45,0.25,9023.34,61
549,2882,10,14.99,0.47,0.25,18.74,94
550,2882,9,15.88,0.4,0.25,19.85,31
551,2882,2,14.18,0.36,0.25,17.73,75
552,2882,6,14.45,0.41,0.25,18.06,65
553,2632,10,222.16,0.36,0.25,277.7,54
